Region,Division,State,year,crime_rate
Northeast,Middle Atlantic,Pennsylvania,1961,11223.0
Northeast,New England,Rhode Island,1961,372.0
South,South Atlantic,South Carolina,1961,3318.0
Midwest,West North Central,South Dakota,1961,245.0
South,East South Central,Tennessee,1961,3910.0
South,West South Central,Texas,1961,15441.0
West,Mountain,Utah,1961,451.0
Northeast,New England,Vermont,1961,79.0
South,South Atlantic,Virginia,1961,7555.0
West,Pacific,Washington,1961,1687.0
South,South Atlantic,West Virginia,1961,1167.0
Midwest,East North Central,Wisconsin,1961,1268.0
West,Mountain,Wyoming,1961,288.0
South,East South Central,Alabama,1962,5283.0
West,Pacific,Alaska,1962,225.0
West,Mountain,Arizona,1962,2610.0
South,West South Central,Arkansas,1962,1667.0
West,Pacific,California,1962,39846.0
West,Mountain,Colorado,1962,2990.0
Northeast,New England,Connecticut,1962,938.0
South,South Atlantic,Delaware,1962,338.0
South,South Atlantic,District of Columbia,1962,4750.0
South,South Atlantic,Florida,1962,10489.0
South,South Atlantic,Georgia,1962,6200.0
West,Pacific,Hawaii,1962,256.0
West,Mountain,Idaho,1962,234.0
Midwest,East North Central,Illinois,1962,38926.0
Midwest,East North Central,Indiana,1962,4191.0
Midwest,West North Central,Iowa,1962,559.0
Midwest,West North Central,Kansas,1962,1477.0
South,East South Central,Kentucky,1962,2963.0
South,West South Central,Louisiana,1962,4570.0
Northeast,New England,Maine,1962,277.0
South,South Atlantic,Maryland,1962,4915.0
Northeast,New England,Massachusetts,1962,3207.0
Midwest,East North Central,Michigan,1962,18106.0
Midwest,West North Central,Minnesota,1962,1674.0
South,East South Central,Mississippi,1962,2079.0
Midwest,West North Central,Missouri,1962,8059.0
West,Mountain,Montana,1962,390.0
Midwest,West North Central,Nebraska,1962,637.0
West,Mountain,Nevada,1962,711.0
Northeast,New England,New Hampshire,1962,178.0
Northeast,Middle Atlantic,New Jersey,1962,7874.0
West,Mountain,New Mexico,1962,1338.0
Northeast,Middle Atlantic,New York,1962,
South,South Atlantic,North Carolina,1962,9533.0
Midwest,West North Central,North Dakota,1962,128.0
Midwest,East North Central,Ohio,1962,8366.0
South,West South Central,Oklahoma,1962,2478.0
West,Pacific,Oregon,1962,1461.0
Northeast,Middle Atlantic,Pennsylvania,1962,11856.0
Northeast,New England,Rhode Island,1962,402.0
South,South Atlantic,South Carolina,1962,3012.0
Midwest,West North Central,South Dakota,1962,279.0
South,East South Central,Tennessee,1962,3767.0
South,West South Central,Texas,1962,15516.0
West,Mountain,Utah,1962,554.0
Northeast,New England,Vermont,1962,57.0
South,South Atlantic,Virginia,1962,7720.0
West,Pacific,Washington,1962,1913.0
South,South Atlantic,West Virginia,1962,1146.0
Midwest,East North Central,Wisconsin,1962,1174.0
West,Mountain,Wyoming,1962,156.0
South,East South Central,Alabama,1963,6115.0
West,Pacific,Alaska,1963,272.0
West,Mountain,Arizona,1963,3027.0
South,West South Central,Arkansas,1963,1991.0
West,Pacific,California,1963,42419.0
West,Mountain,Colorado,1963,2555.0
Northeast,New England,Connecticut,1963,1192.0
South,South Atlantic,Delaware,1963,424.0
South,South Atlantic,District of Columbia,1963,4740.0
South,South Atlantic,Florida,1963,12150.0
South,South Atlantic,Georgia,1963,7019.0
West,Pacific,Hawaii,1963,215.0
West,Mountain,Idaho,1963,362.0
Midwest,East North Central,Illinois,1963,33627.0
Midwest,East North Central,Indiana,1963,4819.0
Midwest,West North Central,Iowa,1963,629.0
Midwest,West North Central,Kansas,1963,1831.0
South,East South Central,Kentucky,1963,2849.0
South,West South Central,Louisiana,1963,5798.0
Northeast,New England,Maine,1963,306.0
South,South Atlantic,Maryland,1963,5283.0
Northeast,New England,Massachusetts,1963,3454.0
Midwest,East North Central,Michigan,1963,18478.0
Midwest,West North Central,Minnesota,1963,1983.0
South,East South Central,Mississippi,1963,1779.0
Midwest,West North Central,Missouri,1963,8629.0
West,Mountain,Montana,1963,414.0
Midwest,West North Central,Nebraska,1963,591.0
West,Mountain,Nevada,1963,755.0
Northeast,New England,New Hampshire,1963,164.0
Northeast,Middle Atlantic,New Jersey,1963,8849.0
West,Mountain,New Mexico,1963,1376.0
Northeast,Middle Atlantic,New York,1963,
South,South Atlantic,North Carolina,1963,10038.0
Midwest,West North Central,North Dakota,1963,182.0
Midwest,East North Central,Ohio,1963,9086.0
South,West South Central,Oklahoma,1963,2808.0
West,Pacific,Oregon,1963,1393.0
Northeast,Middle Atlantic,Pennsylvania,1963,12678.0
Northeast,New England,Rhode Island,1963,500.0
South,South Atlantic,South Carolina,1963,4075.0
Midwest,West North Central,South Dakota,1963,278.0
South,East South Central,Tennessee,1963,3777.0
South,West South Central,Texas,1963,17511.0
West,Mountain,Utah,1963,598.0
Northeast,New England,Vermont,1963,92.0
South,South Atlantic,Virginia,1963,8259.0
West,Pacific,Washington,1963,2034.0
South,South Atlantic,West Virginia,1963,1185.0
Midwest,East North Central,Wisconsin,1963,1312.0
West,Mountain,Wyoming,1963,213.0
South,East South Central,Alabama,1964,7260.0
West,Pacific,Alaska,1964,375.0
West,Mountain,Arizona,1964,3368.0
South,West South Central,Arkansas,1964,2641.0
West,Pacific,California,1964,48026.0
West,Mountain,Colorado,1964,3119.0
Northeast,New England,Connecticut,1964,1773.0
South,South Atlantic,Delaware,1964,541.0
South,South Atlantic,District of Columbia,1964,5112.0
South,South Atlantic,Florida,1964,16539.0
South,South Atlantic,Georgia,1964,8285.0
West,Pacific,Hawaii,1964,575.0
West,Mountain,Idaho,1964,537.0
Midwest,East North Central,Illinois,1964,36916.0
Midwest,East North Central,Indiana,1964,6564.0
Midwest,West North Central,Iowa,1964,1007.0
Midwest,West North Central,Kansas,1964,2573.0
South,East South Central,Kentucky,1964,3486.0
South,West South Central,Louisiana,1964,7140.0
Northeast,New England,Maine,1964,506.0
South,South Atlantic,Maryland,1964,7446.0
Northeast,New England,Massachusetts,1964,4559.0
Midwest,East North Central,Michigan,1964,21153.0
Midwest,West North Central,Minnesota,1964,2601.0
South,East South Central,Mississippi,1964,4118.0
Midwest,West North Central,Missouri,1964,9553.0
West,Mountain,Montana,1964,564.0
Midwest,West North Central,Nebraska,1964,776.0
West,Mountain,Nevada,1964,983.0
Northeast,New England,New Hampshire,1964,149.0
Northeast,Middle Atlantic,New Jersey,1964,10456.0
West,Mountain,New Mexico,1964,1613.0
Northeast,Middle Atlantic,New York,1964,
South,South Atlantic,North Carolina,1964,12345.0
Midwest,West North Central,North Dakota,1964,229.0
Midwest,East North Central,Ohio,1964,11582.0
South,West South Central,Oklahoma,1964,3609.0
West,Pacific,Oregon,1964,2009.0
Northeast,Middle Atlantic,Pennsylvania,1964,14162.0
Northeast,New England,Rhode Island,1964,578.0
South,South Atlantic,South Carolina,1964,4240.0
Midwest,West North Central,South Dakota,1964,408.0
South,East South Central,Tennessee,1964,4505.0
South,West South Central,Texas,1964,19769.0
West,Mountain,Utah,1964,888.0
Northeast,New England,Vermont,1964,89.0
South,South Atlantic,Virginia,1964,10561.0
West,Pacific,Washington,1964,2761.0
South,South Atlantic,West Virginia,1964,1359.0
Midwest,East North Central,Wisconsin,1964,1762.0
West,Mountain,Wyoming,1964,285.0
South,East South Central,Alabama,1965,6916.0
West,Pacific,Alaska,1965,377.0
West,Mountain,Arizona,1965,3092.0
South,West South Central,Arkansas,1965,2662.0
West,Pacific,California,1965,52490.0
West,Mountain,Colorado,1965,3007.0
Northeast,New England,Connecticut,1965,1973.0
South,South Atlantic,Delaware,1965,561.0
South,South Atlantic,District of Columbia,1965,5804.0
South,South Atlantic,Florida,1965,17386.0
South,South Atlantic,Georgia,1965,8777.0
West,Pacific,Hawaii,1965,491.0
West,Mountain,Idaho,1965,493.0
Midwest,East North Central,Illinois,1965,34345.0
Midwest,East North Central,Indiana,1965,6695.0
Midwest,West North Central,Iowa,1965,1067.0
Midwest,West North Central,Kansas,1965,2392.0
South,East South Central,Kentucky,1965,3463.0
South,West South Central,Louisiana,1965,7178.0
Northeast,New England,Maine,1965,437.0
South,South Atlantic,Maryland,1965,10032.0
Northeast,New England,Massachusetts,1965,5270.0
Midwest,East North Central,Michigan,1965,24459.0
Midwest,West North Central,Minnesota,1965,3074.0
South,East South Central,Mississippi,1965,3949.0
Midwest,West North Central,Missouri,1965,10588.0
West,Mountain,Montana,1965,514.0
Midwest,West North Central,Nebraska,1965,852.0
West,Mountain,Nevada,1965,953.0
Northeast,New England,New Hampshire,1965,156.0
Northeast,Middle Atlantic,New Jersey,1965,10422.0
West,Mountain,New Mexico,1965,2047.0
Northeast,Middle Atlantic,New York,1965,58802.0
South,South Atlantic,North Carolina,1965,12755.0
Midwest,West North Central,North Dakota,1965,223.0
Midwest,East North Central,Ohio,1965,12788.0
South,West South Central,Oklahoma,1965,3339.0
West,Pacific,Oregon,1965,2290.0
Northeast,Middle Atlantic,Pennsylvania,1965,16384.0
Northeast,New England,Rhode Island,1965,722.0
South,South Atlantic,South Carolina,1965,4504.0
Midwest,West North Central,South Dakota,1965,415.0
South,East South Central,Tennessee,1965,5333.0
South,West South Central,Texas,1965,21029.0
West,Mountain,Utah,1965,886.0
Northeast,New England,Vermont,1965,89.0
South,South Atlantic,Virginia,1965,10145.0
West,Pacific,Washington,1965,3081.0
South,South Atlantic,West Virginia,1965,1413.0
Midwest,East North Central,Wisconsin,1965,1911.0
West,Mountain,Wyoming,1965,257.0
South,East South Central,Alabama,1966,8098.0
West,Pacific,Alaska,1966,409.0
West,Mountain,Arizona,1966,3272.0
South,West South Central,Arkansas,1966,3185.0
West,Pacific,California,1966,57718.0
West,Mountain,Colorado,1966,3340.0
Northeast,New England,Connecticut,1966,2146.0
South,South Atlantic,Delaware,1966,655.0
South,South Atlantic,District of Columbia,1966,7155.0
South,South Atlantic,Florida,1966,20069.0
South,South Atlantic,Georgia,1966,9066.0
West,Pacific,Hawaii,1966,598.0
West,Mountain,Idaho,1966,461.0
Midwest,East North Central,Illinois,1966,39116.0
Midwest,East North Central,Indiana,1966,7196.0
Midwest,West North Central,Iowa,1966,1214.0
Midwest,West North Central,Kansas,1966,2517.0
South,East South Central,Kentucky,1966,4191.0
South,West South Central,Louisiana,1966,8689.0
Northeast,New England,Maine,1966,486.0
South,South Atlantic,Maryland,1966,11236.0
Northeast,New England,Massachusetts,1966,6201.0
Midwest,East North Central,Michigan,1966,27806.0
Midwest,West North Central,Minnesota,1966,3691.0
South,East South Central,Mississippi,1966,3504.0
Midwest,West North Central,Missouri,1966,11149.0
West,Mountain,Montana,1966,507.0
Midwest,West North Central,Nebraska,1966,941.0
West,Mountain,Nevada,1966,987.0
Northeast,New England,New Hampshire,1966,259.0
Northeast,Middle Atlantic,New Jersey,1966,11168.0
West,Mountain,New Mexico,1966,2221.0
Northeast,Middle Atlantic,New York,1966,62561.0
South,South Atlantic,North Carolina,1966,14775.0
Midwest,West North Central,North Dakota,1966,231.0
Midwest,East North Central,Ohio,1966,15626.0
South,West South Central,Oklahoma,1966,3552.0
West,Pacific,Oregon,1966,2470.0
Northeast,Middle Atlantic,Pennsylvania,1966,15169.0
Northeast,New England,Rhode Island,1966,849.0
South,South Atlantic,South Carolina,1966,5844.0
Midwest,West North Central,South Dakota,1966,568.0
South,East South Central,Tennessee,1966,6145.0
South,West South Central,Texas,1966,24382.0
West,Mountain,Utah,1966,1148.0
Northeast,New England,Vermont,1966,80.0
South,South Atlantic,Virginia,1966,10399.0
West,Pacific,Washington,1966,3673.0
South,South Atlantic,West Virginia,1966,1613.0
Midwest,East North Central,Wisconsin,1966,1984.0
West,Mountain,Wyoming,1966,273.0
South,East South Central,Alabama,1967,8448.0
West,Pacific,Alaska,1967,437.0
West,Mountain,Arizona,1967,3892.0
South,West South Central,Arkansas,1967,4320.0
West,Pacific,California,1967,67446.0
West,Mountain,Colorado,1967,3789.0
Northeast,New England,Connecticut,1967,2804.0
South,South Atlantic,Delaware,1967,948.0
South,South Atlantic,District of Columbia,1967,9252.0
South,South Atlantic,Florida,1967,23399.0
South,South Atlantic,Georgia,1967,8536.0
West,Pacific,Hawaii,1967,591.0
West,Mountain,Idaho,1967,478.0
Midwest,East North Central,Illinois,1967,42956.0
Midwest,East North Central,Indiana,1967,8143.0
Midwest,West North Central,Iowa,1967,1608.0
Midwest,West North Central,Kansas,1967,3248.0
South,East South Central,Kentucky,1967,4484.0
South,West South Central,Louisiana,1967,10071.0
Northeast,New England,Maine,1967,621.0
South,South Atlantic,Maryland,1967,17458.0
Northeast,New England,Massachusetts,1967,6919.0
Midwest,East North Central,Michigan,1967,33390.0
Midwest,West North Central,Minnesota,1967,4727.0
South,East South Central,Mississippi,1967,2672.0
Midwest,West North Central,Missouri,1967,12746.0
West,Mountain,Montana,1967,588.0
Midwest,West North Central,Nebraska,1967,1624.0
West,Mountain,Nevada,1967,1100.0
Northeast,New England,New Hampshire,1967,218.0
Northeast,Middle Atlantic,New Jersey,1967,13204.0
West,Mountain,New Mexico,1967,2325.0
Northeast,Middle Atlantic,New York,1967,75124.0
South,South Atlantic,North Carolina,1967,15995.0
Midwest,West North Central,North Dakota,1967,185.0
Midwest,East North Central,Ohio,1967,19344.0
South,West South Central,Oklahoma,1967,3703.0
West,Pacific,Oregon,1967,3147.0
Northeast,Middle Atlantic,Pennsylvania,1967,16119.0
Northeast,New England,Rhode Island,1967,1156.0
South,South Atlantic,South Carolina,1967,6015.0
Midwest,West North Central,South Dakota,1967,586.0
South,East South Central,Tennessee,1967,8111.0
South,West South Central,Texas,1967,26749.0
West,Mountain,Utah,1967,1194.0
Northeast,New England,Vermont,1967,86.0
South,South Atlantic,Virginia,1967,10328.0
West,Pacific,Washington,1967,4754.0
South,South Atlantic,West Virginia,1967,1744.0
Midwest,East North Central,Wisconsin,1967,2948.0
West,Mountain,Wyoming,1967,294.0
South,East South Central,Alabama,1968,8288.0
West,Pacific,Alaska,1968,486.0
West,Mountain,Arizona,1968,4402.0
South,West South Central,Arkansas,1968,4360.0
West,Pacific,California,1968,81293.0
West,Mountain,Colorado,1968,5387.0
Northeast,New England,Connecticut,1968,3825.0
South,South Atlantic,Delaware,1968,1288.0
South,South Atlantic,District of Columbia,1968,12180.0
South,South Atlantic,Florida,1968,27913.0
South,South Atlantic,Georgia,1968,9903.0
West,Pacific,Hawaii,1968,662.0
West,Mountain,Idaho,1968,518.0
Midwest,East North Central,Illinois,1968,44776.0
Midwest,East North Central,Indiana,1968,10229.0
Midwest,West North Central,Iowa,1968,1882.0
Midwest,West North Central,Kansas,1968,3463.0
South,East South Central,Kentucky,1968,5317.0
South,West South Central,Louisiana,1968,11742.0
Northeast,New England,Maine,1968,633.0
South,South Atlantic,Maryland,1968,23405.0
Northeast,New England,Massachusetts,1968,8916.0
Midwest,East North Central,Michigan,1968,37292.0
Midwest,West North Central,Minnesota,1968,5111.0
South,East South Central,Mississippi,1968,3397.0
Midwest,West North Central,Missouri,1968,15216.0
West,Mountain,Montana,1968,610.0
Midwest,West North Central,Nebraska,1968,2103.0
West,Mountain,Nevada,1968,1261.0
Northeast,New England,New Hampshire,1968,279.0
Northeast,Middle Atlantic,New Jersey,1968,16711.0
West,Mountain,New Mexico,1968,2543.0
Northeast,Middle Atlantic,New York,1968,98515.0
South,South Atlantic,North Carolina,1968,18025.0
Midwest,West North Central,North Dakota,1968,173.0
Midwest,East North Central,Ohio,1968,21228.0
South,West South Central,Oklahoma,1968,4473.0
West,Pacific,Oregon,1968,3955.0
Northeast,Middle Atlantic,Pennsylvania,1968,20710.0
Northeast,New England,Rhode Island,1968,1254.0
South,South Atlantic,South Carolina,1968,5853.0
Midwest,West North Central,South Dakota,1968,563.0
South,East South Central,Tennessee,1968,8766.0
South,West South Central,Texas,1968,29646.0
West,Mountain,Utah,1968,1201.0
Northeast,New England,Vermont,1968,157.0
South,South Atlantic,Virginia,1968,12821.0
West,Pacific,Washington,1968,6970.0
South,South Atlantic,West Virginia,1968,1959.0
Midwest,East North Central,Wisconsin,1968,3400.0
West,Mountain,Wyoming,1968,278.0
South,East South Central,Alabama,1969,8842.0
West,Pacific,Alaska,1969,624.0
West,Mountain,Arizona,1969,5742.0
South,West South Central,Arkansas,1969,4390.0
West,Pacific,California,1969,89878.0
West,Mountain,Colorado,1969,6275.0
Northeast,New England,Connecticut,1969,4415.0
South,South Atlantic,Delaware,1969,1588.0
South,South Atlantic,District of Columbia,1969,17038.0
South,South Atlantic,Florida,1969,29411.0
South,South Atlantic,Georgia,1969,11235.0
West,Pacific,Hawaii,1969,684.0
West,Mountain,Idaho,1969,806.0
Midwest,East North Central,Illinois,1969,49543.0
Midwest,East North Central,Indiana,1969,10141.0
Midwest,West North Central,Iowa,1969,1918.0
Midwest,West North Central,Kansas,1969,3873.0
South,East South Central,Kentucky,1969,5745.0
South,West South Central,Louisiana,1969,13492.0
Northeast,New England,Maine,1969,733.0
South,South Atlantic,Maryland,1969,24295.0
Northeast,New England,Massachusetts,1969,10272.0
Midwest,East North Central,Michigan,1969,44048.0
Midwest,West North Central,Minnesota,1969,5253.0
South,East South Central,Mississippi,1969,3354.0
Midwest,West North Central,Missouri,1969,18260.0
West,Mountain,Montana,1969,682.0
Midwest,West North Central,Nebraska,1969,2302.0
West,Mountain,Nevada,1969,1642.0
Northeast,New England,New Hampshire,1969,325.0
Northeast,Middle Atlantic,New Jersey,1969,17226.0
West,Mountain,New Mexico,1969,2881.0
Northeast,Middle Atlantic,New York,1969,105870.0
South,South Atlantic,North Carolina,1969,18117.0
Midwest,West North Central,North Dakota,1969,220.0
Midwest,East North Central,Ohio,1969,26648.0
South,West South Central,Oklahoma,1969,4775.0
West,Pacific,Oregon,1969,4527.0
Northeast,Middle Atlantic,Pennsylvania,1969,22887.0
Northeast,New England,Rhode Island,1969,1594.0
South,South Atlantic,South Carolina,1969,6449.0
Midwest,West North Central,South Dakota,1969,510.0
South,East South Central,Tennessee,1969,9235.0
South,West South Central,Texas,1969,36707.0
West,Mountain,Utah,1969,1460.0
Northeast,New England,Vermont,1969,234.0
South,South Atlantic,Virginia,1969,12433.0
West,Pacific,Washington,1969,8243.0
South,South Atlantic,West Virginia,1969,1766.0
Midwest,East North Central,Wisconsin,1969,3411.0
West,Mountain,Wyoming,1969,286.0
South,East South Central,Alabama,1970,10185.0
West,Pacific,Alaska,1970,840.0
West,Mountain,Arizona,1970,6564.0
South,West South Central,Arkansas,1970,4276.0
West,Pacific,California,1970,94741.0
West,Mountain,Colorado,1970,7874.0
Northeast,New England,Connecticut,1970,5167.0
South,South Atlantic,Delaware,1970,1795.0
South,South Atlantic,District of Columbia,1970,16846.0
South,South Atlantic,Florida,1970,33824.0
South,South Atlantic,Georgia,1970,13976.0
West,Pacific,Hawaii,1970,938.0
West,Mountain,Idaho,1970,879.0
Midwest,East North Central,Illinois,1970,52006.0
Midwest,East North Central,Indiana,1970,12184.0
Midwest,West North Central,Iowa,1970,2241.0
Midwest,West North Central,Kansas,1970,4561.0
South,East South Central,Kentucky,1970,7157.0
South,West South Central,Louisiana,1970,15063.0
Northeast,New England,Maine,1970,887.0
South,South Atlantic,Maryland,1970,24512.0
Northeast,New England,Massachusetts,1970,11542.0
Midwest,East North Central,Michigan,1970,51090.0
Midwest,West North Central,Minnesota,1970,5782.0
South,East South Central,Mississippi,1970,3974.0
Midwest,West North Central,Missouri,1970,18986.0
West,Mountain,Montana,1970,774.0
Midwest,West North Central,Nebraska,1970,2731.0
West,Mountain,Nevada,1970,1948.0
Northeast,New England,New Hampshire,1970,413.0
Northeast,Middle Atlantic,New Jersey,1970,20583.0
West,Mountain,New Mexico,1970,3093.0
Northeast,Middle Atlantic,New York,1970,124613.0
South,South Atlantic,North Carolina,1970,18814.0
Midwest,West North Central,North Dakota,1970,211.0
Midwest,East North Central,Ohio,1970,30279.0
South,West South Central,Oklahoma,1970,5194.0
West,Pacific,Oregon,1970,5373.0
Northeast,Middle Atlantic,Pennsylvania,1970,25970.0
Northeast,New England,Rhode Island,1970,1944.0
South,South Atlantic,South Carolina,1970,7412.0
Midwest,West North Central,South Dakota,1970,616.0
South,East South Central,Tennessee,1970,10787.0
South,West South Central,Texas,1970,40897.0
West,Mountain,Utah,1970,1459.0
Northeast,New England,Vermont,1970,329.0
South,South Atlantic,Virginia,1970,14040.0
West,Pacific,Washington,1970,7546.0
South,South Atlantic,West Virginia,1970,2158.0
Midwest,East North Central,Wisconsin,1970,3792.0
West,Mountain,Wyoming,1970,376.0
South,East South Central,Alabama,1971,10835.0
West,Pacific,Alaska,1971,1112.0
West,Mountain,Arizona,1971,7407.0
South,West South Central,Arkansas,1971,4680.0
West,Pacific,California,1971,104872.0
West,Mountain,Colorado,1971,8530.0
Northeast,New England,Connecticut,1971,5968.0
South,South Atlantic,Delaware,1971,2060.0
South,South Atlantic,District of Columbia,1971,16084.0
South,South Atlantic,Florida,1971,38575.0
South,South Atlantic,Georgia,1971,15898.0
West,Pacific,Hawaii,1971,1830.0
West,Mountain,Idaho,1971,917.0
Midwest,East North Central,Illinois,1971,53436.0
Midwest,East North Central,Indiana,1971,13031.0
Midwest,West North Central,Iowa,1971,2822.0
Midwest,West North Central,Kansas,1971,4843.0
South,East South Central,Kentucky,1971,7717.0
South,West South Central,Louisiana,1971,15208.0
Northeast,New England,Maine,1971,903.0
South,South Atlantic,Maryland,1971,24857.0
Northeast,New England,Massachusetts,1971,15317.0
Midwest,East North Central,Michigan,1971,51697.0
Midwest,West North Central,Minnesota,1971,5993.0
South,East South Central,Mississippi,1971,6151.0
Midwest,West North Central,Missouri,1971,18357.0
West,Mountain,Montana,1971,971.0
Midwest,West North Central,Nebraska,1971,2355.0
West,Mountain,Nevada,1971,1887.0
Northeast,New England,New Hampshire,1971,580.0
Northeast,Middle Atlantic,New Jersey,1971,26441.0
West,Mountain,New Mexico,1971,3994.0
Northeast,Middle Atlantic,New York,1971,145048.0
South,South Atlantic,North Carolina,1971,19952.0
Midwest,West North Central,North Dakota,1971,238.0
Midwest,East North Central,Ohio,1971,32159.0
South,West South Central,Oklahoma,1971,6719.0
West,Pacific,Oregon,1971,6335.0
Northeast,Middle Atlantic,Pennsylvania,1971,31917.0
Northeast,New England,Rhode Island,1971,2129.0
South,South Atlantic,South Carolina,1971,8188.0
Midwest,West North Central,South Dakota,1971,644.0
South,East South Central,Tennessee,1971,12520.0
South,West South Central,Texas,1971,43089.0
West,Mountain,Utah,1971,1689.0
Northeast,New England,Vermont,1971,333.0
South,South Atlantic,Virginia,1971,15384.0
West,Pacific,Washington,1971,8155.0
South,South Atlantic,West Virginia,1971,2311.0
Midwest,East North Central,Wisconsin,1971,3957.0
West,Mountain,Wyoming,1971,532.0
South,East South Central,Alabama,1972,10994.0
West,Pacific,Alaska,1972,1204.0
West,Mountain,Arizona,1972,8731.0
South,West South Central,Arkansas,1972,4840.0
West,Pacific,California,1972,110667.0
West,Mountain,Colorado,1972,9555.0
Northeast,New England,Connecticut,1972,6138.0
South,South Atlantic,Delaware,1972,2181.0
South,South Atlantic,District of Columbia,1972,12607.0
South,South Atlantic,Florida,1972,40252.0
South,South Atlantic,Georgia,1972,17823.0
West,Pacific,Hawaii,1972,1258.0
West,Mountain,Idaho,1972,1085.0
Midwest,East North Central,Illinois,1972,57162.0
Midwest,East North Central,Indiana,1972,12968.0
Midwest,West North Central,Iowa,1972,2519.0
Midwest,West North Central,Kansas,1972,4737.0
South,East South Central,Kentucky,1972,7446.0
South,West South Central,Louisiana,1972,15712.0
Northeast,New England,Maine,1972,1143.0
South,South Atlantic,Maryland,1972,26412.0
Northeast,New England,Massachusetts,1972,17086.0
Midwest,East North Central,Michigan,1972,50425.0
Midwest,West North Central,Minnesota,1972,6798.0
South,East South Central,Mississippi,1972,7076.0
Midwest,West North Central,Missouri,1972,18223.0
West,Mountain,Montana,1972,1079.0
Midwest,West North Central,Nebraska,1972,2638.0
West,Mountain,Nevada,1972,2264.0
Northeast,New England,New Hampshire,1972,491.0
Northeast,Middle Atlantic,New Jersey,1972,27577.0
